model,label,delta,entropy,special_ratio,regex_score
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.1254654471911425,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.1442947451177905,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,benign,0.7755698187233577,4.36460232552993,0.16279069767441862,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6921275909051063,3.9092750707107133,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6146689992684664,3.950212064914747,0.21428571428571427,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8269958940021512,4.126723929767273,0.11666666666666667,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6442132493803607,4.3542227440216,0.13636363636363635,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6924758885188941,4.294739663055176,0.23333333333333334,0.0
nvidia/nv-embedqa-e5-v5,benign,0.5856670115611968,4.135012729750035,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7879750441954327,4.140085005571898,0.17073170731707318,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6230332376706593,3.9803885422075336,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7354673041172698,4.230277542259298,0.13333333333333333,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6178899581928814,3.830182698156027,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7454250757169063,4.418171939471839,0.12,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8553258174243807,4.416833823616225,0.1590909090909091,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8704170968786227,4.361033547037795,0.109375,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6242925726688084,3.9803885422075336,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8346157621873239,4.253801390571587,0.12962962962962962,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7527280817465948,4.0280404882424214,0.021739130434782608,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6843443312783173,3.7532696895151085,0.04,0.0
nvidia/nv-embedqa-e5-v5,benign,0.47054006288849737,3.095795255000934,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7234955071839108,3.9292292966721747,0.21875,0.0
nvidia/nv-embedqa-e5-v5,benign,0.9546752732163181,4.108744411015932,0.1346153846153846,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7891711419514003,4.124024420865021,0.175,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8142530886155682,4.247052820085153,0.15555555555555556,0.0
nvidia/nv-embedqa-e5-v5,benign,0.725843172130421,3.9077148025974386,0.02857142857142857,0.0
nvidia/nv-embedqa-e5-v5,benign,0.5693301146569836,3.9498939766703764,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.700499047044724,3.47450498810543,0.038461538461538464,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6874255855561515,3.856919703979321,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.680860871331886,4.109595923232874,0.16666666666666666,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6815655647239115,3.4019495387197347,0.037037037037037035,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8087345822691269,4.374860596185444,0.15555555555555556,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6818950882865543,4.074473053554116,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6831190522879338,4.124860554020196,0.1794871794871795,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6641412204267574,4.14199056540681,0.02531645569620253,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6437799816884603,3.828072996388509,0.03333333333333333,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7846827107259412,4.220254675762213,0.17073170731707318,0.0
nvidia/nv-embedqa-e5-v5,benign,0.653881493762222,3.9841837197791894,0.35,0.0
nvidia/nv-embedqa-e5-v5,benign,0.5468078999214177,4.0060710131011685,0.18181818181818182,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6184538882258016,3.6320527396219853,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6616006409248274,4.221097250057957,0.18421052631578946,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6155198933289857,3.9687988369565836,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.847040920173562,4.371379278161679,0.1590909090909091,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8898474238517781,4.329783547037795,0.109375,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6296758893622739,3.6689869584530608,0.03571428571428571,0.0
nvidia/nv-embedqa-e5-v5,benign,0.5635134994037421,3.934176037582925,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6087028138796515,3.720175521464345,0.25,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7166006979803999,3.94770277922009,0.3333333333333333,0.0
nvidia/nv-embedqa-e5-v5,benign,0.724365356942488,4.102012740442133,0.012048192771084338,0.0
nvidia/nv-embedqa-e5-v5,benign,0.5973016653160881,3.5766176449086657,0.05263157894736842,0.0
nvidia/nv-embedqa-e5-v5,benign,0.749522317518573,4.279010795650284,0.12727272727272726,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6642543631681446,3.8360819078152044,0.18181818181818182,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6665099076901733,4.159188661773937,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7013461903017981,3.969216160786827,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.745145534911976,4.0304363948517326,0.15789473684210525,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7411938558635112,4.347937596449246,0.13725490196078433,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8809749403647045,4.01745224405173,0.13725490196078433,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7239689335159801,4.221049013623096,0.23076923076923078,0.0
nvidia/nv-embedqa-e5-v5,benign,0.0,3.1219280948873624,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6780165177783262,3.824252831282987,0.18181818181818182,0.0
nvidia/nv-embedqa-e5-v5,benign,0.716708649679343,4.155565013329719,0.21052631578947367,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7843767278906189,4.266047330580116,0.15555555555555556,0.0
nvidia/nv-embedqa-e5-v5,benign,0.628492377008483,3.8035088547976783,0.25,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8013285837225764,4.318902085446844,0.1875,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7954965898369125,4.27870670786635,0.1794871794871795,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6474244453930702,4.000583190004054,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6957857664285121,3.8692856107411173,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7856509300228861,4.36460232552993,0.16279069767441862,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6231821702045357,3.8286438414911745,0.02127659574468085,0.0
nvidia/nv-embedqa-e5-v5,benign,0.5919964481200263,3.787143960698139,0.3157894736842105,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8023262113667443,4.277235418780177,0.1875,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6990897761610377,3.9292292966721747,0.21875,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6645830054526053,3.7998760854981724,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7498219341159814,3.8423560241774926,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7693148680870128,4.25693885808983,0.15217391304347827,0.0
nvidia/nv-embedqa-e5-v5,benign,0.604090538753567,4.023136955868885,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7470600109662818,3.99496967920685,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7173919384679323,4.027979696753515,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6297887930093363,3.6835423624332306,0.3333333333333333,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6925389625694384,4.086238388168278,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.5549521804751576,3.968362202012002,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.9425870489125026,4.08873600921643,0.11764705882352941,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7274904493380958,4.2046264242514235,0.15217391304347827,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7542236369695556,4.365636576077286,0.12962962962962962,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6868240721944472,4.02085512047121,0.20588235294117646,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7249959945760976,4.2280729963885095,0.23333333333333334,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7796078831298457,4.411113953436907,0.16279069767441862,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7500573334209473,4.330217325848729,0.15217391304347827,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8728448207513905,4.23564587381899,0.15555555555555556,0.0
nvidia/nv-embedqa-e5-v5,benign,0.893568666906085,4.316947863427458,0.16666666666666666,0.0
nvidia/nv-embedqa-e5-v5,benign,0.5737041189800908,4.219433495901616,0.16666666666666666,0.0
nvidia/nv-embedqa-e5-v5,benign,0.5978133141750718,3.8968655960892895,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6991984801117548,4.2280729963885095,0.23333333333333334,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6851385327196013,3.8365916681089787,0.3333333333333333,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6896856919932779,3.8867328984266147,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.5989929957266983,3.4193819456463714,0.3333333333333333,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7703307565154746,3.7953020454838056,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6844714587371602,4.014460876028361,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.623431489232074,3.715018266288633,0.03125,0.0
nvidia/nv-embedqa-e5-v5,benign,0.5797245946275454,3.733660689688186,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.7190319207810473,4.329491278917676,0.20930232558139536,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6732829533692557,3.572469458770135,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6800536166148348,3.911104051597479,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8354345336562056,4.171991617439867,0.1320754716981132,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6953219569700517,3.916537120907738,0.21212121212121213,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6301465957005349,3.6243797016511117,0.034482758620689655,0.0
nvidia/nv-embedqa-e5-v5,benign,0.733803836549892,4.169766962341045,0.23076923076923078,0.0
nvidia/nv-embedqa-e5-v5,benign,0.9400838780726788,4.115922063835167,0.11666666666666667,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6884074332845026,3.807063524343021,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6258624810651259,3.956704688544266,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6176812514324128,3.8755579298799177,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.653036397422704,3.7709103354256377,0.0,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8786519604685412,4.2494602799216175,0.16666666666666666,0.0
nvidia/nv-embedqa-e5-v5,benign,0.8233897600213619,4.268719696310997,0.20930232558139536,0.0
nvidia/nv-embedqa-e5-v5,benign,0.6385273270246902,4.195838200298333,0.1320754716981132,0.0
